Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,188.2
Afghanistan,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,179.2
Afghanistan,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,190.1
Afghanistan,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,194.5
Afghanistan,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,185.3
Afghanistan,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,196.4
Afghanistan,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,201
Afghanistan,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,191.7
Afghanistan,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,202.9
Afghanistan,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,207.5
Afghanistan,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,197.9
Afghanistan,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,209.3
Afghanistan,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,214.3
Afghanistan,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,204.2
Afghanistan,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,215.8
Afghanistan,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,220.9
Afghanistan,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,210.6
Afghanistan,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,222.2
Afghanistan,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,227.5
Afghanistan,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,216.8
Afghanistan,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,228.6
Afghanistan,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,234
Afghanistan,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,223.2
Afghanistan,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,235.1
Afghanistan,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,240.4
Afghanistan,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,229.5
Afghanistan,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,241.5
Afghanistan,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,247
Afghanistan,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,235.8
Afghanistan,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,247.8
Afghanistan,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,253.6
Afghanistan,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,241.7
Afghanistan,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,254
Afghanistan,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,260
Afghanistan,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,247.8
Afghanistan,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,260.1
Afghanistan,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,266.3
Afghanistan,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,253.6
Afghanistan,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,266.2
Afghanistan,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,272.3
Afghanistan,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,259.6
Afghanistan,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,272
Afghanistan,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,278.4
Afghanistan,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,265.4
Afghanistan,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,277.8
Afghanistan,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,284.3
Afghanistan,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,270.9
Afghanistan,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,283.6
Afghanistan,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,290.4
Afghanistan,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,276.5
Afghanistan,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,289.3
Afghanistan,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,296
Afghanistan,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,282
Afghanistan,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,294.8
Afghanistan,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,301.9
Afghanistan,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,287.4
Afghanistan,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,300.3
Afghanistan,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,307.4
Afghanistan,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,292.9
Afghanistan,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,305.8
Afghanistan,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,313.2
Afghanistan,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,298.2
Afghanistan,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,311.4
Afghanistan,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,318.8
Afghanistan,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,303.5
Afghanistan,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,316.8
Afghanistan,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,324.4
Afghanistan,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,308.7
Afghanistan,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,322
Afghanistan,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,329.9
Afghanistan,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,313.9
Afghanistan,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,327.6
Afghanistan,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,335.6
Afghanistan,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,319.3
Afghanistan,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,333.1
Afghanistan,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,341.3
Afghanistan,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,324.6
Afghanistan,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,338.7
Afghanistan,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,347.1
Afghanistan,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,330
Afghanistan,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,344.6
Afghanistan,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,353.1
Afghanistan,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,335.6
Albania,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.68
Albania,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.47
Albania,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.85
Albania,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.53
Albania,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.29
Albania,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.71
Albania,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.42
Albania,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.18
Albania,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.61
Albania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.42
Albania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.19
Albania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.6
Albania,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.57
Albania,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.35
Albania,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.74
Albania,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.9
Albania,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.75
Albania,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,#VALUE!
Albania,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.43
Albania,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,11.37
Albania,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,9.45
Albania,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,11.18
Albania,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,12.22
Albania,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,10.1
Albania,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,12.14
Albania,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,13.31
Albania,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,10.92
Albania,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,13.25
Albania,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,14.57
Albania,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,11.86
Albania,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.45
Albania,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,15.94
Albania,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,12.89
Albania,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.75
Albania,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,17.46
Albania,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,13.95
Albania,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,17.11
Albania,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,19.05
Albania,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,15.08
Albania,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,18.52
Albania,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,20.65
Albania,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,16.28
Albania,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,19.96
Albania,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,22.28
Albania,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,17.53
Albania,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,21.43
Albania,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,23.91
Albania,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,18.83
Albania,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,22.92
Albania,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,25.52
Albania,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,20.17
Albania,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.37
Albania,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,27.09
Albania,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,21.5
Albania,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,25.8
Albania,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,28.62
Albania,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,22.81
Albania,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,27.21
Albania,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,30.13
Albania,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,24.11
Albania,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,28.58
Albania,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,31.62
Albania,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,25.39
Albania,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,29.95
Albania,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,33.07
Albania,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,26.65
Albania,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,31.28
Albania,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,34.49
Albania,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,27.94
Albania,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,32.62
Albania,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,35.89
Albania,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,29.13
Albania,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,33.92
Albania,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,37.26
Albania,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,30.36
Albania,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,35.18
Albania,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,38.63
Albania,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,31.54
Albania,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,36.45
Albania,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,39.97
Albania,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,32.75
Albania,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,37.79
Albania,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,41.44
Albania,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,33.98
Albania,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,39.28
Albania,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,43.02
Albania,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,35.38
Albania,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,40.99
Albania,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,44.81
Albania,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,37.02
Albania,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,43.01
Albania,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,46.91
Albania,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,38.9
Albania,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,45.39
Albania,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,49.3
Albania,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,41.18
Albania,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,48.12
Albania,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,52.25
Albania,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,43.82
Albania,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,51.31
Albania,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,55.51
Albania,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,46.94
Albania,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,55
Albania,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,59.23
Albania,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,50.49
Albania,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,59.18
Albania,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,63.49
Albania,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,54.6
Albania,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,63.91
Albania,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,68.33
Albania,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,59.26
Albania,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,69.22
Albania,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,73.6
Albania,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,64.56
Albania,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,75.17
Albania,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,79.49
Albania,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,70.46
Albania,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,81.61
Albania,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,85.98
Albania,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,76.88
Albania,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,88.61
Albania,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,92.97
Albania,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,84.09
Albania,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,96.21
Albania,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,100.5
Albania,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,91.86
Algeria,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,23.26
Algeria,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,24.62
Algeria,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,21.81
Algeria,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,23.81
Algeria,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,25.21
Algeria,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,22.33
Algeria,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.32
Algeria,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,25.76
Algeria,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,22.81
Algeria,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.79
Algeria,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,26.2
Algeria,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,23.31
